Date;Start;End;Total;Residual;Hydro_pumped,
Feb-01, 2022;12:00 AM;1:00 AM;56414.75;33479.25;3083.25
Feb-01, 2022;1:00 AM;2:00 AM;55271;32473.25;4445.75
Feb-01, 2022;2:00 AM;3:00 AM;54689.5;31789.25;4836.75
Feb-01, 2022;3:00 AM;4:00 AM;54735.25;32179.5;4953.25
Feb-01, 2022;4:00 AM;5:00 AM;55641.75;31562.5;3977.25
Feb-01, 2022;5:00 AM;6:00 AM;58879.75;32717;2527.25
Feb-01, 2022;6:00 AM;7:00 AM;65826.75;36820.75;1550.5
Feb-01, 2022;7:00 AM;8:00 AM;72264.5;41326.5;617.25
Feb-01, 2022;8:00 AM;9:00 AM;75512.25;42307.25;230
Feb-01, 2022;9:00 AM;10:00 AM;76727.5;40386.25;208.5
Feb-01, 2022;10:00 AM;11:00 AM;77600.25;37973.25;210
Feb-01, 2022;11:00 AM;12:00 PM;78539;37050.75;233.75
Feb-01, 2022;12:00 PM;1:00 PM;78680.75;35538.5;724.75
Feb-01, 2022;1:00 PM;2:00 PM;78453.75;33198;536.5
Feb-01, 2022;2:00 PM;3:00 PM;78367.25;32364;513.25
Feb-01, 2022;3:00 PM;4:00 PM;77421.5;31598.25;422.25
Feb-01, 2022;4:00 PM;5:00 PM;76592.5;30821.75;304.5
Feb-01, 2022;5:00 PM;6:00 PM;77513.75;31155.25;289.75
Feb-01, 2022;6:00 PM;7:00 PM;77767.75;31582.5;77.25
Feb-01, 2022;7:00 PM;8:00 PM;75752.75;30196.5;850.5
Feb-01, 2022;8:00 PM;9:00 PM;71379.25;26481.5;1656
Feb-01, 2022;9:00 PM;10:00 PM;66834.25;22639.25;1626
Feb-01, 2022;10:00 PM;11:00 PM;64051.75;21921.5;2767.5
Feb-01, 2022;11:00 PM;12:00 AM;60852.5;18998.5;4883
Feb-02, 2022;12:00 AM;1:00 AM;57705.5;13963;6202
Feb-02, 2022;1:00 AM;2:00 AM;55317.75;12698;6577
Feb-02, 2022;2:00 AM;3:00 AM;54545;13192.75;6171.5
Feb-02, 2022;3:00 AM;4:00 AM;55210.75;13816.5;6018.75
Feb-02, 2022;4:00 AM;5:00 AM;56382.5;13973.75;5299.25
Feb-02, 2022;5:00 AM;6:00 AM;59169.75;16538.75;3491
Feb-02, 2022;6:00 AM;7:00 AM;66256.5;20670.5;3068
Feb-02, 2022;7:00 AM;8:00 AM;71890.5;26654.75;2072
Feb-02, 2022;8:00 AM;9:00 AM;73870.5;30034;753.5
Feb-02, 2022;9:00 AM;10:00 AM;74427;29716.5;969.75
Feb-02, 2022;10:00 AM;11:00 AM;74720;28159.75;1326
Feb-02, 2022;11:00 AM;12:00 PM;75612.25;27537;1018.25
Feb-02, 2022;12:00 PM;1:00 PM;75292.5;27063.25;1132
Feb-02, 2022;1:00 PM;2:00 PM;74007.25;27273.75;1268.5
Feb-02, 2022;2:00 PM;3:00 PM;73188;31444.5;792.5
Feb-02, 2022;3:00 PM;4:00 PM;72621.5;37399;458.75
Feb-02, 2022;4:00 PM;5:00 PM;71121.25;44701.25;51
Feb-02, 2022;5:00 PM;6:00 PM;72942.25;52047.5;3.25
Feb-02, 2022;6:00 PM;7:00 PM;74006;55751.5;0
Feb-02, 2022;7:00 PM;8:00 PM;72136.5;55465;2.25
Feb-02, 2022;8:00 PM;9:00 PM;68110;52260.25;97.5
Feb-02, 2022;9:00 PM;10:00 PM;64510.75;48454.5;185
Feb-02, 2022;10:00 PM;11:00 PM;61512.5;45109.25;1333.25
Feb-02, 2022;11:00 PM;12:00 AM;58477;41751;2379.25
Feb-03, 2022;12:00 AM;1:00 AM;55584;38576.75;2989.25
Feb-03, 2022;1:00 AM;2:00 AM;53893;37292.75;2569.5
Feb-03, 2022;2:00 AM;3:00 AM;53175.75;36334.5;2953.25
Feb-03, 2022;3:00 AM;4:00 AM;53198.25;35594.75;3380
Feb-03, 2022;4:00 AM;5:00 AM;54870.75;36929;2226
Feb-03, 2022;5:00 AM;6:00 AM;57734.75;39583.5;1409.75
Feb-03, 2022;6:00 AM;7:00 AM;64504.25;45327.75;404.25
Feb-03, 2022;7:00 AM;8:00 AM;70483.75;49193;320
Feb-03, 2022;8:00 AM;9:00 AM;73276;49956;111.75
Feb-03, 2022;9:00 AM;10:00 AM;73471.25;48977.5;10.5
Feb-03, 2022;10:00 AM;11:00 AM;73799.75;47309.25;181
Feb-03, 2022;11:00 AM;12:00 PM;74930.5;47259;250.25
Feb-03, 2022;12:00 PM;1:00 PM;74920.5;47586.5;284.5
Feb-03, 2022;1:00 PM;2:00 PM;73321.5;48019;44.25
Feb-03, 2022;2:00 PM;3:00 PM;72250.75;49624.25;139
Feb-03, 2022;3:00 PM;4:00 PM;71789;51237.75;13
Feb-03, 2022;4:00 PM;5:00 PM;71178;52687.5;10.5
Feb-03, 2022;5:00 PM;6:00 PM;72856.75;55297.25;7.25
Feb-03, 2022;6:00 PM;7:00 PM;73542.25;55587.25;5.5
Feb-03, 2022;7:00 PM;8:00 PM;72102.5;53340.75;258.25
Feb-03, 2022;8:00 PM;9:00 PM;68332.25;49228.75;224
Feb-03, 2022;9:00 PM;10:00 PM;64486.75;45787.75;192
Feb-03, 2022;10:00 PM;11:00 PM;61098.25;42125.75;382.5
Feb-03, 2022;11:00 PM;12:00 AM;57608.5;37774.25;915.75
Feb-04, 2022;12:00 AM;1:00 AM;53551.75;33460;1545.75
Feb-04, 2022;1:00 AM;2:00 AM;52026.75;31228.75;2409.5
Feb-04, 2022;2:00 AM;3:00 AM;51534;30575.5;3275.5
Feb-04, 2022;3:00 AM;4:00 AM;52063.5;30656.75;3395.25
Feb-04, 2022;4:00 AM;5:00 AM;53250;30956.5;2919.5
Feb-04, 2022;5:00 AM;6:00 AM;56435.25;32940.75;1506
Feb-04, 2022;6:00 AM;7:00 AM;63710.25;37626.75;668.75
Feb-04, 2022;7:00 AM;8:00 AM;69789.5;41725.5;53.5
Feb-04, 2022;8:00 AM;9:00 AM;72273.5;42147.75;2
Feb-04, 2022;9:00 AM;10:00 AM;73209.25;40161.25;60.25
Feb-04, 2022;10:00 AM;11:00 AM;73206.25;37354.5;251.25
Feb-04, 2022;11:00 AM;12:00 PM;74448.25;34757.25;515.5
Feb-04, 2022;12:00 PM;1:00 PM;74975;32204.25;942.5
Feb-04, 2022;1:00 PM;2:00 PM;73122.5;29287.75;631.75
Feb-04, 2022;2:00 PM;3:00 PM;71692.75;28578.75;605.75
Feb-04, 2022;3:00 PM;4:00 PM;71079;30003.25;566.25
Feb-04, 2022;4:00 PM;5:00 PM;71161.25;32004.5;446.75
Feb-04, 2022;5:00 PM;6:00 PM;73377;34001.5;264.75
Feb-04, 2022;6:00 PM;7:00 PM;74363.75;34504.25;29
Feb-04, 2022;7:00 PM;8:00 PM;71714.75;31769.25;275
Feb-04, 2022;8:00 PM;9:00 PM;67485.25;26179.5;1569.75
Feb-04, 2022;9:00 PM;10:00 PM;64027;22034.75;1645.75
Feb-04, 2022;10:00 PM;11:00 PM;61143;19963.25;1632
Feb-04, 2022;11:00 PM;12:00 AM;57899.75;17460.5;1619.5
Feb-05, 2022;12:00 AM;1:00 AM;54498.75;14919;1394.75
Feb-05, 2022;1:00 AM;2:00 AM;52839;14115.25;1768.25
Feb-05, 2022;2:00 AM;3:00 AM;52279.75;14208.5;1734
Feb-05, 2022;3:00 AM;4:00 AM;52100.25;14273.75;2149.75
Feb-05, 2022;4:00 AM;5:00 AM;51710.25;14047;2289.75
Feb-05, 2022;5:00 AM;6:00 AM;51820.5;14125.5;1583
Feb-05, 2022;6:00 AM;7:00 AM;52811;15007.25;1469.25
Feb-05, 2022;7:00 AM;8:00 AM;55723.75;17834;635.25
Feb-05, 2022;8:00 AM;9:00 AM;59121.25;20768.75;194.25
Feb-05, 2022;9:00 AM;10:00 AM;61893.5;20053.75;716.25
Feb-05, 2022;10:00 AM;11:00 AM;63151;17342.25;3116.5
Feb-05, 2022;11:00 AM;12:00 PM;64753.25;14032.25;3015.25
Feb-05, 2022;12:00 PM;1:00 PM;63646.75;11630;3630
Feb-05, 2022;1:00 PM;2:00 PM;62024.75;10796;4145.75
Feb-05, 2022;2:00 PM;3:00 PM;60029;10847.75;2136.75
Feb-05, 2022;3:00 PM;4:00 PM;59063.75;14476.25;1037.75
Feb-05, 2022;4:00 PM;5:00 PM;59932.5;19039;571
Feb-05, 2022;5:00 PM;6:00 PM;63301;23371;115.25
Feb-05, 2022;6:00 PM;7:00 PM;65542.25;23035.75;99.25
Feb-05, 2022;7:00 PM;8:00 PM;63900.75;20038.25;181
Feb-05, 2022;8:00 PM;9:00 PM;60150.25;15754;279
Feb-05, 2022;9:00 PM;10:00 PM;57689;13819.5;606.5
Feb-05, 2022;10:00 PM;11:00 PM;56537;13222.75;746.25
Feb-05, 2022;11:00 PM;12:00 AM;53745;10571.75;2219.5
