Date;Start;End;Total;Residual;Hydro_pumped,
Jan-01, 2022;12:00 AM;1:00 AM;43915.5;12452.25;2539.25
Jan-01, 2022;1:00 AM;2:00 AM;41535.75;11480;2866.25
Jan-01, 2022;2:00 AM;3:00 AM;40480.75;11818.75;3203.75
Jan-01, 2022;3:00 AM;4:00 AM;39564;12183;3708
Jan-01, 2022;4:00 AM;5:00 AM;39338.25;13256.75;3910
Jan-01, 2022;5:00 AM;6:00 AM;38826.5;14800.75;3244.5
Jan-01, 2022;6:00 AM;7:00 AM;38413;14722.75;2701.5
Jan-01, 2022;7:00 AM;8:00 AM;39086.75;16280.25;2245
Jan-01, 2022;8:00 AM;9:00 AM;40305;19239.5;2055.75
Jan-01, 2022;9:00 AM;10:00 AM;42511;20682.25;1635
Jan-01, 2022;10:00 AM;11:00 AM;44382.5;21962;1345
Jan-01, 2022;11:00 AM;12:00 PM;46732.25;23928.5;1520.5
Jan-01, 2022;12:00 PM;1:00 PM;47314.75;24236.5;708.5
Jan-01, 2022;1:00 PM;2:00 PM;46391.75;25149.75;1040.25
Jan-01, 2022;2:00 PM;3:00 PM;45729.25;26907.25;762
Jan-01, 2022;3:00 PM;4:00 PM;45663;29048;475.5
Jan-01, 2022;4:00 PM;5:00 PM;47864;31050.25;100.25
Jan-01, 2022;5:00 PM;6:00 PM;51405;32532.5;9.5
Jan-01, 2022;6:00 PM;7:00 PM;52287.75;31339.5;8
Jan-01, 2022;7:00 PM;8:00 PM;51321.25;28326.75;76
Jan-01, 2022;8:00 PM;9:00 PM;49466;25280;115.75
Jan-01, 2022;9:00 PM;10:00 PM;48009.25;23176;174.25
Jan-01, 2022;10:00 PM;11:00 PM;47437.25;22176.5;515
Jan-01, 2022;11:00 PM;12:00 AM;44832;19104.75;591.5
Jan-02, 2022;12:00 AM;1:00 AM;42674.25;16858.75;3821.75
Jan-02, 2022;1:00 AM;2:00 AM;41513.25;15927.25;4628.25
Jan-02, 2022;2:00 AM;3:00 AM;40795.5;16057;4518
Jan-02, 2022;3:00 AM;4:00 AM;40566.5;15473.5;4315.5
Jan-02, 2022;4:00 AM;5:00 AM;40742.5;16749.75;4509
Jan-02, 2022;5:00 AM;6:00 AM;40775.5;16455.25;4213.25
Jan-02, 2022;6:00 AM;7:00 AM;40405.75;15587.25;2421.25
Jan-02, 2022;7:00 AM;8:00 AM;42254.25;16387.25;1752.5
Jan-02, 2022;8:00 AM;9:00 AM;45418.25;17009.25;1401
Jan-02, 2022;9:00 AM;10:00 AM;48344;17672.25;1131.75
Jan-02, 2022;10:00 AM;11:00 AM;50584;16092.5;899
Jan-02, 2022;11:00 AM;12:00 PM;53645.75;15650;744.25
Jan-02, 2022;12:00 PM;1:00 PM;54538.5;14036.5;873.5
Jan-02, 2022;1:00 PM;2:00 PM;53342.75;12908.25;1526.75
Jan-02, 2022;2:00 PM;3:00 PM;52709;12333.5;1690.75
Jan-02, 2022;3:00 PM;4:00 PM;53245.75;13037.5;2045.5
Jan-02, 2022;4:00 PM;5:00 PM;55536.5;14897.25;1803.25
Jan-02, 2022;5:00 PM;6:00 PM;58611.75;16726.5;850.75
Jan-02, 2022;6:00 PM;7:00 PM;58765.5;16320;394
Jan-02, 2022;7:00 PM;8:00 PM;57348.5;16013.5;977
Jan-02, 2022;8:00 PM;9:00 PM;54782.25;14210.25;1481.5
Jan-02, 2022;9:00 PM;10:00 PM;52456;13593.75;1346.75
Jan-02, 2022;10:00 PM;11:00 PM;50894.75;14458;2137
Jan-02, 2022;11:00 PM;12:00 AM;47862.25;12186.75;2035
Jan-03, 2022;12:00 AM;1:00 AM;45379.75;10537.25;3645.25
Jan-03, 2022;1:00 AM;2:00 AM;43676.75;11150;4641
Jan-03, 2022;2:00 AM;3:00 AM;42606.5;10836;4638.5
Jan-03, 2022;3:00 AM;4:00 AM;43139.25;12233.25;4677
Jan-03, 2022;4:00 AM;5:00 AM;44606.25;12013.25;3615
Jan-03, 2022;5:00 AM;6:00 AM;48399.25;11577.5;1599.25
Jan-03, 2022;6:00 AM;7:00 AM;55425.75;13166.25;1197.75
Jan-03, 2022;7:00 AM;8:00 AM;61601;18095;539.5
Jan-03, 2022;8:00 AM;9:00 AM;65032.75;22386.5;259.25
Jan-03, 2022;9:00 AM;10:00 AM;66440.75;23160.5;67.5
Jan-03, 2022;10:00 AM;11:00 AM;67857;22828.5;106.75
Jan-03, 2022;11:00 AM;12:00 PM;69433.5;22446.75;487.25
Jan-03, 2022;12:00 PM;1:00 PM;70097.25;23104.75;749.25
Jan-03, 2022;1:00 PM;2:00 PM;69303;23996;680.5
Jan-03, 2022;2:00 PM;3:00 PM;68287.5;25377.5;696.25
Jan-03, 2022;3:00 PM;4:00 PM;67281;27626.25;105.5
Jan-03, 2022;4:00 PM;5:00 PM;67884.75;29576;252
Jan-03, 2022;5:00 PM;6:00 PM;70147.75;32423;209
Jan-03, 2022;6:00 PM;7:00 PM;69958.25;32272.5;8.25
Jan-03, 2022;7:00 PM;8:00 PM;68037.5;31780.25;31
Jan-03, 2022;8:00 PM;9:00 PM;64029.75;30049;267.25
